256:289;302:335;364:344;403:293;407:231;231:224;252:210;280:209;311:199;335:184;364:181;302:220;318:263;304:274;326:273;345:258;252:235;282:226;324:213;355:201;309:306;326:292;336:291;344:286;372:280;362:298;346:310;326:314;339:296;342:302;264:226;267:235;338:203;342:211;
256:279;306:327;367:342;406:284;407:210;227:224;248:210;278:210;316:193;340:170;371:165;306:220;326:264;313:276;332:273;348:261;254:236;286:226;330:206;362:189;313:307;333:291;341:290;348:285;373:283;364:297;348:309;329:312;344:295;343:299;266:225;271:237;343:192;349:203;
259:282;305:323;366:336;403:281;402:214;225:223;247:210;278:210;316:192;340:169;369:163;305:219;325:265;312:276;331:272;347:260;253:236;286:226;328:207;361:188;314:306;332:291;340:290;347:285;372:281;362:296;348:308;330:310;343:295;343:298;265:224;270:238;341:190;348:203;
259:281;306:322;365:336;401:282;403:215;226:220;248:209;278:209;316:191;339:168;368:163;304:217;324:264;312:276;330:272;346:260;253:236;286:225;328:206;360:188;313:306;331:291;340:291;347:285;371:281;361:296;347:307;330:309;343:296;342:297;266:224;271:237;341:191;348:203;
258:283;305:326;366:340;402:283;403:216;226:222;248:208;278:209;317:191;341:169;369:165;305:218;327:265;313:276;333:272;347:259;253:236;286:226;329:206;362:189;314:306;333:291;342:290;349:285;372:282;363:297;349:309;331:311;345:295;344:298;266:224;271:237;343:191;349:203;
258:282;303:324;365:337;402:281;402:215;226:222;248:208;279:209;317:192;341:169;371:164;305:217;326:264;313:275;332:272;347:259;254:235;286:225;329:206;361:189;314:306;332:292;341:290;348:285;370:282;362:295;347:306;329:310;343:295;342:297;266:223;271:236;342:190;349:203;
258:283;303:325;365:338;403:283;405:216;226:221;247:210;278:210;318:191;341:170;369:164;305:217;325:264;312:276;331:272;347:260;253:236;286:226;329:206;362:189;315:307;332:292;340:291;347:286;371:283;362:298;348:309;330:311;343:297;343:299;265:224;270:237;343:191;349:203;
258:283;304:326;365:339;401:284;403:217;227:222;248:209;279:209;318:191;341:170;369:164;306:218;326:264;313:276;332:272;347:260;254:236;286:226;330:206;362:189;316:307;333:292;341:291;347:286;370:284;361:297;347:308;331:311;344:296;343:298;266:224;271:237;342:190;349:203;
256:282;305:325;367:338;403:283;403:214;227:222;249:209;280:209;317:192;340:169;369:164;306:216;327:264;314:275;333:272;348:259;254:235;286:225;329:205;361:189;314:307;333:291;342:290;349:285;371:282;362:296;349:307;331:310;344:295;344:297;266:225;271:236;342:191;349:203;
258:281;304:324;364:338;401:283;403:215;226:220;247:208;277:209;318:191;341:169;368:164;305:216;326:264;313:275;332:272;347:260;254:234;286:225;329:205;361:188;313:307;332:291;340:291;347:285;370:282;361:297;347:308;329:311;343:295;343:298;266:223;271:236;342:190;349:203;
259:281;305:322;363:336;401:283;402:216;227:219;247:208;277:209;318:190;340:169;368:164;305:217;326:265;312:274;332:271;347:257;254:236;285:224;329:206;362:190;314:305;332:290;340:290;346:285;370:282;360:297;347:306;330:309;343:295;342:297;267:226;272:236;344:194;349:204;
262:279;304:323;364:336;403:284;408:222;236:207;257:197;286:199;325:184;347:166;373:159;314:212;329:255;314:266;334:263;350:252;260:229;292:218;336:202;370:187;315:302;334:284;342:284;348:279;374:279;363:294;349:303;332:305;345:290;345:294;273:219;277:229;352:191;356:200;
267:270;302:316;364:339;409:293;421:232;256:194;277:185;303:186;345:174;367:161;391:160;331:201;343:249;327:258;347:257;365:249;276:214;310:206;353:196;385:187;322:292;345:279;352:280;357:276;383:280;371:294;356:301;338:300;352:285;353:291;291:203;294:215;368:185;370:196;
276:254;307:307;369:336;417:298;434:240;276:182;300:174;328:178;371:172;397:161;423:164;354:198;363:245;341:253;363:255;381:247;292:202;330:199;375:194;411:189;332:285;358:274;365:276;371:272;394:279;380:289;365:295;348:293;365:283;363:283;310:193;312:208;393:183;395:197;
282:245;313:305;367:337;421:306;449:246;290:175;316:168;344:175;389:173;416:165;441:174;366:196;369:245;349:249;369:255;389:248;305:194;342:196;389:197;425:194;333:281;362:272;368:276;375:273;400:281;384:294;367:298;349:293;369:282;367:287;323:189;323:201;407:
